연도,지역코드,지표코드,인구밀도,위도,경도,인구밀도평균,밀도차이
2023,34040110010202,to_in_003,48225.2,36.80823242369452,127.00901514853084,28008.68,20216.519999999997
2023,34040120030304,to_in_003,61664.4,36.77468059956576,127.08107334722412,36013.76,25650.64
2023,34040120050401,to_in_003,65463.2,36.78099320116255,127.09521298249612,44319.53999999999,21143.660000000003
2023,34040120080202,to_in_003,60868.9,36.79516191869694,127.10898516410352,35509.88,25359.020000000004
2023,34040120080401,to_in_003,49564.6,36.797976409361866,127.10495968497872,24779.379999999997,24785.22
2023,34040120090101,to_in_003,58308.1,36.78896458293008,127.09865810449244,27592.3,30715.8
2023,34040120090401,to_in_003,50048.5,36.78511042249322,127.0924853355761,29748.579999999998,20299.920000000002
2023,34040120100101,to_in_003,20363.5,36.76619788690349,127.11795384599633,5788.12,14575.380000000001
2023,34040120110806,to_in_003,47514.8,36.77157116844564,127.05547560702205,28617.18,18897.620000000003
2023,34040120120502,to_in_003,65602.3,36.77440857162763,127.0483747235096,53967.9,11634.400000000001
2023,34040330060901,to_in_003,93280.1,36.80185547534207,127.0615627866751,63466.6,29813.500000000007
2023,34040330060906,to_in_003,76370.8,36.80211836333939,127.05917683521145,53261.659999999996,23109.140000000007
2023,34040330060912,to_in_003,97346.5,36.80043251352404,127.0626631593898,74785.84,22560.660000000003
2023,34040330060917,to_in_003,90340.4,36.80289837923534,127.0626768170372,62638.619999999995,27701.78
2023,34040330061101,to_in_003,51802.6,36.7982892855494,127.06900408265304,40835.880000000005,10966.719999999994
2023,34040330061402,to_in_003,98189.6,36.78664023453937,127.0888098875876,60469.740000000005,37719.86
2023,34040340020101,to_in_003,67412.8,36.82937434926411,127.09714600696456,37355.68,30057.120000000003
2023,34040340020204,to_in_003,41366.7,36.82690364781085,127.10026155655386,28409.159999999996,12957.54
2023,34040340050107,to_in_003,43479.3,36.84204786686814,127.07350855572342,31385.379999999997,12093.920000000006
2023,34040350020002,to_in_003,35992.4,36.93003028164453,127.04045175293903,11656.04,24336.36
2023,34040350030201,to_in_003,59172.1,36.918490041389006,127.0423938542844,18191.420000000002,40980.67999999999
2023,34040350050102,to_in_003,48269.3,36.925949786765095,127.05513146674129,27093.74,21175.56
2023,34040350070102,to_in_003,34078.2,36.92134224922446,127.05464839913896,22033.64,12044.559999999998
2023,34040370020101,to_in_003,34867.0,36.83214527451352,126.88489092763704,19053.04,15813.96
2023,34040400030601,to_in_003,58509.5,36.792931823738975,126.95330005890578,44667.5,13842.0
2023,34040400031303,to_in_003,27931.8,36.78959950822515,126.9534729005666,18478.659999999996,9453.140000000003
2023,34040400050101,to_in_003,35219.5,36.781718745011695,126.94898964844984,21313.399999999998,13906.100000000002
2023,34040400050301,to_in_003,202396.4,36.78296339817613,126.958172500803,84293.35999999999,118103.04000000001
2023,34040400050306,to_in_003,76057.4,36.781855618342696,126.95561597481152,60786.79999999999,15270.600000000006
2023,34040510010101,to_in_003,50862.0,36.79152608956432,126.99601412432985,37377.13999999999,13484.860000000008
2023,34040520010101,to_in_003,294720.7,36.780017222429215,127.00810236022414,69001.28,225719.42
2023,34040530021001,to_in_003,67318.1,36.78275812434093,127.01934600406796,44973.780000000006,22344.32
2023,34040540020602,to_in_003,118412.4,36.79045666414428,126.99408043416553,80005.84,38406.56
2023,34040540020703,to_in_003,53705.1,36.7905336986089,126.99194299416564,32536.26,21168.84
2023,34040540040201,to_in_003,28729.4,36.78239439506476,126.98906450220602,15106.579999999998,13622.820000000003
2023,34040550010102,to_in_003,66835.9,36.77305109923594,127.0117254185008,42951.52,23884.379999999997
2023,34040550020101,to_in_003,41569.0,36.77083066772588,126.99857769083536,29716.059999999998,11852.940000000002
2023,34040550040101,to_in_003,22031.2,36.75066623407695,126.98853469445962,10652.74,11378.460000000001
2023,34040560010406,to_in_003,63107.2,36.77436937021509,127.02358048069104,43933.67999999999,19173.520000000004
2023,34040560020101,to_in_003,65150.0,36.764982328845335,127.01027259330652,27964.0,37186.0
2023,34040560020301,to_in_003,65686.0,36.76546652957129,127.01174593457472,52526.43999999999,13159.560000000012
2023,34040560020401,to_in_003,64830.3,36.76357877129696,127.01481469907614,51586.88,13243.420000000006
2023,34040560020502,to_in_003,59520.6,36.74875847015478,127.0153994044003,45981.08,13539.519999999997
2023,34040560020504,to_in_003,71236.6,36.74684460630272,127.01475863077532,48622.58,22614.020000000004
2023,34040560020507,to_in_003,46307.6,36.74804849500084,127.01127135520277,26161.579999999998,20146.02
2023,34040560040102,to_in_003,83024.8,36.75433982443638,127.03135152853552,48918.14,34106.66
2023,34040560040301,to_in_003,86673.2,36.75376085684638,127.02931686301694,70766.54,15906.660000000003
