위도,경도
36.78541380328404,127.08855195173506
36.802030436576544,127.06133558790027
36.791222750196866,126.99546186642564
36.80823242369452,127.00901514853084
36.77468059956576,127.08107334722412
36.78099320116255,127.09521298249612
36.78078979102888,127.09407530246165
36.79516191869694,127.10898516410352
36.79641123824275,127.10809602690406
36.797976409361866,127.10495968497872
36.78896458293008,127.09865810449244
36.78916184244265,127.10332808256445
36.76619788690349,127.11795384599633
36.77157116844564,127.05547560702205
36.77440857162763,127.0483747235096
36.77199188682722,127.04908605886382
36.7982892855494,127.06900408265304
36.82937434926411,127.09714600696456
36.82979539741839,127.09769174817804
36.82690364781085,127.10026155655386
36.83831255914143,127.08590009563864
36.93003028164453,127.04045175293903
36.92597272603299,127.04240555019904
36.918490041389006,127.0423938542844
36.925949786765095,127.05513146674129
36.92134224922446,127.05464839913896
36.92303474773056,127.05557532939044
36.86927735869498,126.88005416897025
36.792931823738975,126.95330005890578
36.79136092478882,126.95349727275487
36.78959950822515,126.9534729005666
36.781718745011695,126.94898964844984
36.78296339817613,126.958172500803
36.78226831901656,126.9555206040544
36.781855618342696,126.95561597481152
36.780017222429215,127.00810236022414
36.77804861321233,127.0072966048778
36.78275812434093,127.01934600406796
36.78098974016618,127.02036421009484
36.78239439506476,126.98906450220602
36.77305109923594,127.0117254185008
36.77083066772588,126.99857769083536
36.772356750181615,127.00698169421985
36.77233590800857,127.00620961473057
36.77436937021509,127.02358048069104
36.77485001656371,127.02216189008672
36.764982328845335,127.01027259330652
36.76546652957129,127.01174593457472
36.765442493091015,127.01097488851788
36.76357877129696,127.01481469907614
36.75433982443638,127.03135152853552
36.75376085684638,127.02931686301694
36.75295669128482,127.03006408295587
